2k0	2000
mins	minutes
misc.	miscellaneous
mu	miss you
myaly	miss you and love you
mul	miss you lots
musm	Miss You So Much
mysm	Miss you so much
m.i.a	Missing In Action
mia	Missing In Action
mk	mmm....ok
code 29	moderator is watching
mw2	modern warfare 2
mw3	Modern Warfare 3
m&d	mom and dad
miwnlf	mom I would not like to fuck.
milf	Mom i'd like to fuck
miltf	Mom I'd like to fuck
mir	mom in room
miw	mom is watching
mos	mom over shoulder
mompl	moment please
scrilla	money
msmd	monkey see - monkey do
mor	more
funner	more fun
mnt	More next time
mol	more or less
mpty	more power to you
motarded	more retarded
mtl	more than likely
mtc	more to come
mtf	More to Follow
mpbis	most popular boy in school
mpgis	most popular girl in school
mudda	mother
mutha	mother
muvva	mother
mofo	mother fucker
mtherfker	mother fucker
mthrfkr	mother fucker
mfa	mother fucking asshole
mfb	mother fucking bitch
mobo	motherboard
mf	motherfucker
mfkr	motherfucker
mfr	motherfucker
mtrfkr	motherfucker
mfah	motherfucking asshole
mpd	Multiple Personality Disorder
muve	multi-data virtual environment
187	murder
musiq	music
muzik	music
mah	my
mai	my
mao	my ass off
mb	my bad
mbf	my best friend
mbhsm	My Boobs Hurt So Much
mcs	My computer sucks
mego	my eyes glaze over
mfw	my face when
mfao	my fucking ass off
mgiwjsdchmw	my girlfriend is watching jeff so don't call her my wife
mhh	my head hurts
mho	My Humble Opinion
miid	my internet is down
mlia	my life is amazing
mmiw	my mom is watching
mmtyh	My mom thinks you're hot
mpaw	my parents are watching
mpih	my penis is hard
msibo	my side is busting open
mypl	my young padawan learner
miself	myself
myspce	myspace
nekkid	naked
nifoc	naked in front of computer
nifok	naked in front of keyboard
noc	naked on camera
np4np	naked pic for naked pic
nba	national basketball association 
ncaa	National Collegiate Athletic Association
noaa	National Oceanic and Atmospheric Administration
n8v	native
natch	naturally
n2n	need to know
ntk	Need to know
ntkb	need to know basis
n2p	need to pee
ntt	need to talk
nic	Network Interface Card
neva	never
nevah	never
nevar	Never
nevarz	never
nevr	never
nvr	never
nawidt	never again will i do that
nkt	never knew that
nevm	never mind
nvm	never mind
nvrmnd	never mind 
nvmdt	never mind then
n/m	nevermind
nvmd	nevermind
nvrm	Nevermind
nvmt	nevermind that
nu	new
nib	new in box
b00n	new person
noobie	new person
knewb	new player
newbie	new player
nooblet	new player
nyc	New York City
n00b	newbie
noobz0r	newbie
n00bs	newbies
n00s	news
nxt	next
ns	nice
ng	nice game
nh	nice hand
nj	Nice job
njp	nice job partner
nld	nice lay down
n1	nice one
ntty	nice talking to you
n2bb	nice to be back
ntmu	nice to meet you
ntmy	nice to meet you
nt	nice try
n/n	nickname
ni994	nigga
nizzle	nigger
9t	night
nite	night
n64	Nintendo 64
nes	Nintendo Entertainment System
nips	nipples
nah	no
naw	no
naww	no
noes	no
nbd	no big deal
n/c	no comment
ncs	no crap sherlock
ndit	No details in thread
nofi	No Flame Intended
nfc	no fucking clue
nfd	no fucking deal
nfi	no fucking idea
nfw	no fucking way
nft	no further text
ni	no idea
nin	no its not
nk	no kidding
nmw	no matter what
nmwh	no matter what happens
nnfaa	no need for an apology
nntr	no need to reply
nn2r	no need to respond
nntst	no need to say thanks
nnaa	no not at all
nnr	no not really
n/o	no offense
no1	no one
nolm	No one loves me
no pro	no problem
np	no problem
npgf	no problem girl friend
nph	no problem here
nps	No Problems
npi	no pun intended
nr	no reserve
nrn	No Response Necessary
nst	no school today
nsfu	no sex for you
nss	no shit sherlock
nsa	No Strings Attached
nsas	No Strings Attached Sex
nstaafl	No Such Thing As a Free Lunch
n/t	no text
ntxt	no text
ntbn	no text-back needed
noty	no thank you
nty	no thank you
nowai	No way
nw	no way
nwy	no way
nwrus	no way are your serious 
nwih	no way in hell
nbdy	nobody
ngaf	nobody gives a fuck
nif	non internet friend
ritjive	non virgin
noub	none of your business
noyb	none of your business
noygdb	none of your god damn business
npc	Non-playable character
npe	nope
nop	normal operating procedure
nafta	North American Free Trade Agreement
nawt	not
naft	Not A Fucking Thing
n/a	not applicable
na	not applicable
nafc	Not Appropriate for Children
na4w	not appropriate for work
nao	Not As Often
naa	not at all
namh	not at my house
nafkam	Not Away From Keyboard Any More
nb	not bad
nc	not cool
nfbsk	not for british school kids
nfr	not for real
nfs	not for sale
nff	not fucking fair
nf	not funny
nhatm	not here at the moment
nimby	not in my backyard
nm	not much
nmh	not much here
nmf	not my fault
nmfp	not my fucking problem
nmp	Not My Problem
nomw	not on my watch
npa	not paying attention
ntrly	Not Really
nr4u	not right for you
nsfw	not safe for work
ntstt	not safe to talk 
nsfmf	not so fast my friend
ntigaf	not that i give a fuck
nttawwt	Not that there is anything wrong with that
nttiawwt	Not that there is anything wrong with that.
ntb	not to bad
n2br	not to be rude
ntm	not to much
ntmk	Not to my knowledge
ntw	not to worry
n2b	not too bad
n2g	Not too good
n2m	not too much
n2mh	not too much here
n2mhjc	not too much here just chillin
n2mhbu	not too much how about you?
nws	not work safe
nyf	not your fault
nyp	not your problem
nts	note to self
notin	nothing
nthg	nothing
nthin	nothing
nthn	nothing
ntn	nothing
nuffin	nothing
nufin	nothing
nutin	nothing
nuttin	nothing
nip	nothing in particular
nmhwby	nothing much here what about you
nmhau	nothing much how about you
nmjb	nothing much just bored
nmjch	Nothing Much Just Chilling
nmjdhw	nothing much just doing homework
ntta	nothing to talk about 
nigysob	now I've got you son of a bitch
nwtf	now what the fuck
noodz	nude pictures
n00dz	nudes
nmbr	number
obj	Object
ocd	obsessive compulsive disorder
obv	obviously
obvi	obviously
occ	Occupation
ofc	of course
otc	off the chain
oftpc	off topic
ot	off topic
of10	often
oftn	often
o	Oh
odg	oh dear God
ofcol	oh for crying out loud
ogw	oh guess what
ohn	oh hell no
ohy	oh hell yeah
ohic	oh I see
oicic	oh i see i see
omdz	Oh My Days 
omdg	oh my dear god
omfsm	Oh My Flying Spaghetti Monster
omfwtg	Oh My Fuck What The God?
omfg	oh my fucking god
zomfg	oh my fucking god
omfgn	Oh my fucking god noob
omfgsh	Oh My Fucking Gosh
omfl	oh my fucking internet connection is slow
omfj	oh my fucking jesus
omg	oh my God
omgz	oh my God
omgzors	oh my god
pmg	oh my God
z'omg	Oh my God
z0mg	oh my god
zomg	Oh my God
zomgzorrz	oh my god
omgicfbi	Oh my god I can't fucking believe it
omgihv2p	oh my god i have to pee
omgih	Oh My God In Heaven
omgny	oh my god no way
omgroflmao	oh my god roll on the floor laughing my ass off
omgty	Oh my god thank you
omgyg2bk	oh my god you got to be kidding
omgukk	oh my god you killed kenny
omgykkyb	oh my god you killed kenny you bastards
omgf	oh my god...Fuck!
omg's	oh my god's
omgn	oh my goodness
omgosh	Oh my gosh
omgsh	oh my gosh
omgd	Oh my gosh dude
omgg	Oh my gosh girl
omhg	oh my hell god
omj	oh my jesus
ommfg	oh my mother fucking god
omy	oh my!
0noe	Oh No
ohnoez	Oh no
onoez	oh no
onoz	oh no
onud	oh no you didn't
onyd	oh no you didn't
oh noez	Oh no!
o rly	oh really
orly	Oh Really
orly	oh really?
osy	oh screw you
osifgt	oh shit i forgot
oh noes	oh shit!
oways	oh wow are you serious
o/y	oh yeah
oyr	Oh Yeah Right
oyid	oh yes i did
k	ok
kk	ok
mkay	ok
kthz	ok thanks
kthxbai	ok thanks bye!
kthxgb	ok thanks goodbye
kthxmn	Ok Thanks Man
m'kay	okay
mmmkay	okay
ok	okay
ktnx	Okay and Thanks
kkthnxbye	okay thanks bye
obgjfioyo	old but good job finding it on your own
ofn	Old Fucking News
oar	on a roll
oaw	on a website
omw	on my way
omwh	on my way home
omwts	on my way to school
oow	On our way
osd	On Screen Display
otfcu	on the floor cracking up
otfl	on the floor laughing
otflmao	On the floor laughing my ass off
otflmfao	On the floor laughing my fucking ass off
otflol	on the floor laughing out loud
otfp	on the fucking phone
oti	on the internet
otoh	on the other hand
otp	on the phone
otw	on the way
oyo	on your own
1nce	once
odtaa	one damn thing after another
olpc	One Laptop Per Child
omt	one more time
oomf	One of my followers
1sec	one second
retrotextual	One who is using out of date words and abbreviations while texting.
ownzer	one who makes others look bad
lurker	one who reads but doesn't reply
oll	online love
orpg	online role playing game
oiyd	Only In Your Dreams
osbutctt	only sad bastards use this crappy text talk
oibmpc	oops I broke my computer
oidia	oops i did it again
oyfe	Open Your Fucking Eyes
os	operating system
op	operator
obo	or best offer
oe	or else
oslt	or something like that
orlsx	oral sex
oj	orange juice
orgy	orgasm
og	original gangster
o.p.	Original Poster
obl	osama bin laden
code9	other people near by 
owt	Out
oftc	out for the count
oobl	out of breath laughing
oob	out of buisness
ooc	out of character
oohm	out of his/her mind
oom	Out of mana
oomm	out of my mind
ootb	out of the blue
ooo	out of the office
ooym	out of your mind
otl	out to lunch
ova	over
uber	over
o&o	over and out
oaoa	over and over again
od	over dose
otft	over the fucking top
ots	over the shoulder
ott	over the top
pwnage	Ownage
pwn3d	owned
pwnd	owned
pwnt	owned
ownzorz	Owned.
pwn3r	owner
pwner	owner
pwnzor	owner
ownz	owns
pwnz	owns
oed	oxford english dictionary
pg	page
pcbd	page cannot be displayed
pima	Pain in my ass
pimfa	pain in my fucking ass
pimha	Pain in my hairy ass
pita	pain in the ass
pitfa	Pain In The Fucking Ass
pmfji	Pardon me for jumping in
pas	parent at side
pbb	parent behind back
pbm	parent behind me
p911	parent emergency (parent near)
pirlos	parent in room looking over shoulder
pitr	parent in the room
piw	Parent is watching
pl	parent looking
plac	parent looking at computer
platcs	parent looking at the computer screen
ploms	parent looking over my shoulder
p.o.b.	Parent Over Back
pob	parent over back
pol	parent over looking
poms	parent over my shoulder
p.o.s	parent over shoulder
p.o.s.	parent over shoulder
pos	Parent Over Shoulder
p^s	parent over shoulder
posmbri	parent over shoulder might be reading it
psbms	parent standing by my side
psos	parent standing over sholder
pwos	parent was over sholder
pw	parent watching
pwob	Parent watching over back
pwoms	parent watching over my shoulder
pfos	parental figure over sholder
parnts	parents
pezzas	parents
rents	parents
rentz	parents
pach	parents are coming home
pachs	parents are coming home soon
pag	Parents Are Gone
code 8	parents are watching
code 9	Parents are watching
p@w	parents are watching
paw	parents are watching
prw	parents are watching
pah	parents at home
pcrs	Parents can read slang
pir	parents in room
pitrtul	parents in the room text you later
plams	parents looking at my screen
plom	parents looking over me
plomb	parents looking over my back
plos	Parents Looking Over Shoulder
poscs	parents over sholder change subject
pwcb	parents watching close by
pww	parents were watching
prty	party
plars	party like a rock star
ptbb	pass the barf bag
ptfo	passed the fuck out
p/w	password
pwd	password
pce	peace
pz	peace
phlr	peace hugs love respect
pb	peanut butter
pb&j	peanut butter and jelly
pbj	peanut butter and jelly
pihb	pee in his/her butt
pp	pee pee
p2p	peer to peer
p-nis	penis
dick	penis
p33n	penis
p3n0r	penis
p3n15	penis
p3n1s	penis
peanus	penis
pen0r	Penis
pen15	penis
penor	penis
pns	penis
pnus	penis
peeps	people
peoples	people
ppl	people
ppls	people
pplz	people
pcent	percent
prfct	perfect
prd	period
prsn	person
troll	person who diliberately stirs up trouble
pto	Personal Time Off 
perv	pervert
prvrt	pervert
pvt	pervert
4n	Phone
fone	phone
phreaker	phone hacker
ph#	phone number
p4p	pic for pic
pic	picture
flicks	pictures
piccies	Pictures
pics	pictures
pix	pictures
poc	Piece of crap
pae	Pimpin aint easy
pfy	pimply faced youth
potc	pirates of the caribbean
pmfsl	piss my fucking self laughing
pmpl	piss my pants laughing
pmsl	piss my self laughing
po	piss off
poq	Piss Off Quick
pmsfl	Pissed Myself Fucking Laughing
p/oed	pissed off
po'd	pissed off
poed	pissed off
pimpl	pissing in my pants laughing
pmo	pissing me off
pmp	pissing my pants
pml	pissing myself laughing
pots	Plain Old Telephone Service
pl8	plate
ps1	Play Station 1
ps2	Play Station 2
ps3	Play Station 3
plywm	play with me
pk	player kill
pker	player killer
pking	player killing
pvp	player versus player
psn	playstation netwok
psp	playstation portable
puh-leaze	Please
pl0x	please
ple's	please
pleaz	please
pleez	please
pleeze	please
pleze	please
pliz	please
plocks	please
plox	please
ploxxorz	please
pls	please
plse	please
plz	please
pbp	Please Be Patient
pco	please come over
pex	Please explain?
pfa	Please Find Attached
pfm	Please forgive me
pfo	please fuck off
phm	please help me
plma	please leave me alone 
plmk	please let me know
prp	please reply
pst	please send tell
plx	please/thanks
plzthx	please? Thanks
poi	point of interest
pov	point of view
pkemon	pokemon
5o	police
po po	police
popo	police
p00p	poop
pewp	poop
poo	poop
pr0n	porn
pr0nz	porn
prn	porn
pron	porn
prnoscrn	porn on screen
ppor	post proof or recant
pnbf	Potential new boy friend
pmita	pound me in the ass
pmitap	pound me in the ass prison
pwor	power
ptl	Praise the Lord
preggers	pregnant
prego	Pregnant
pt33n	preteen
pthc	preteen hardcore
purty	pretty
pdg	pretty damn good
pdq	pretty damn quick
phat	pretty hot and tasty
pyt	pretty young thing
prncss	princess
prncpl	principal
ppppppp	Prior Proper Planning Prevents Piss Poor Performance
pow	prisoner of war
prv	private
pbly	probably
probly	probably
probz	probably
prolly	Probably
prollz	probably
prblm	Problem
prob	problem
pbcakb	problem between chair and keyboard
pbkc	Problem between keyboard & chair
pebmac	Problem Exist Between monitor and chair
pebcak	Problem Exists Between Chair and Keyboard
pebkac	problem exists between keyboard and chair
prod	product
pr0	professional
pro	professional
pf	profile 
proxie	proxy
pda	public display of affection
psa	Public Service Announcement
pxr	punk rocker
bur	pussy
chut	pussy
pssy	pussy
pwb	pussy whipped bitch
pasii	put a sock in it
piihb	put it in her butt
piitb	put it in the butt
pydim	put your dick in me
pyfco	put your freaking clothes on
pzled	puzzled
qotsa	queens of the stone age
q33r	Queer
qna	question and answer
q4u	question for you
kwik	quick
qltm	quietly laughing to myself
kwit	quit
qpwd	quit posting while drunk
qpr	quite pathetic really
kwiz	quiz
qotd	quote of the day
qoty	quote of the year
qfe	quoted for emphasis
qfmft	quoted for motherfucking truth
qft	quoted for truth
qft&gj	quoted for truth and great justice
r8p	rape
r8pist	rapist
r8	rate
r8t	rate
ror	raughing out roud
rta	read the article
rtbq	Read The Blinking Question
rtfa	read the fucking article
rtffp	Read the fucking front page
rtfm	read the fucking manual
rtfmfm	read the fucking manual fucking moron
rtfmm	read the fucking manual moron
rtfp	read the fucking post
rtfq	Read The Fucking Question
rtfs	read the fucking summary
rtm	read the manual
rtr	Read the Rules
rdy	ready
rtfu	Ready the fuck up
r2f	Ready To Fuck
rtg	ready to go
rl	real life
rlbf	Real Life Boy Friend
rlf	Real Life Friend
rlgf	Real Life Girl Friend
rln	real life name
rq	real quick
rsn	real soon now
rlze	realize
rele	really
rlly	really
rly	really
rff	really fucking funny
rhgir	really hot guy in room
rlg	really loud giggle
rts	Real-time strategy
rcvd	received
ra2	red alert 2 (game)
ra3	Red Alert 3 (game)
rhcp	red hot chilli peppers
301ing	referring traffic to another site
rjct	reject
chillin	relaxing
rmr	remember
re	reply
rplbk	reply back
rtl	report the loss
pearoast	repost
reppin	representing
rino	republican in name only
rspct	respect
r.i.p.	rest in peace
rotw	rest of the world
rr	rest room
rrb	restroom break
r-tard	retard
rtard	retard
tard	retard
rtry	retry
roi	Return On Investment
rtf	return the favor
rwb	Rich White Bitch
rite	right
ryt	right
ryte	right
rb@u	right back at you
rbau	right back at you
rbay	right back at you
rbm	right behind me
rcsa	right click save as
rfn	right fucking now
rhs	right hand side
rawr	roar
rawk	Rock
roxor	rock
roxxor	rock
rmso	Rock My socks off
ro	rock out
rowyco	rock out with your cock out
rockr	rocker
r0x0rz	rocks
rawks	rocks
rcks	Rocks
rox	rocks
roxorz	rocks
rgr	roger
rpg	role playing game
rp	roleplay
roflmgdmfao	roling on floor laughing my god damn mother fucking ass off
rofalol	roll on the floor and laugh out loud
rotfalol	roll on the floor and laugh out loud
rotffl	roll on the fucking floor laughing
rotgl	roll on the ground laughing
rombl	rolled off my bed laughing
raoflmao	rolling around on floor laughing my ass off
ricl	rolling in chair laughing
rme	rolling my eyes
rofc	Rolling On Floor Crying
roffles	rolling on floor laughing
rofl&pmp	rolling on floor laughing and peeing my pants
roflastc	Rolling On Floor Laughing And Scaring The Cat
roflmaowpimp	rolling on floor laughing my ass off while peeing in my pants
roflmbfao	Rolling On Floor Laughing My Big Fat Ass Off 
roflmbo	rolling on floor laughing my butt off
roflmaouts	Rolling on floor laughing my fucking ass off unable to speak
roflmgo	Rolling On Floor Laughing My Guts Out
roflol	rolling on floor laughing out loud
roflmfaopmp	rolling on flor laughing my fucking ass of peeing my pants
rogl	rolling on ground laughing
roglmfao	rolling on ground laughing my fucking ass off
rotf	rolling on the floor
refl	rolling on the floor laughing
rifk	rolling on the floor laughing
roffle	rolling on the floor laughing
rofflecake	rolling on the floor laughing
rofl	rolling on the floor laughing
roflcopter	Rolling on the floor laughing
roofles	rolling on the floor laughing
rotfl	rolling on the floor laughing
rotflaviab	rolling on the floor laughing and vomiting in a bucket
roflkmd	rolling on the floor laughing kicking my dog
rofllh	rolling on the floor laughing like hell
rflmao	rolling on the floor laughing my ass off
roflao	rolling on the floor laughing my ass off
roflmao	rolling on the floor laughing my ass off
rotflmao	rolling on the floor laughing my ass off
roflmaoapimp	rolling on the floor laughing my ass off and peeing in my pants
rotflmaofaktd	Rolling on the floor laughing my ass off farted and killed the dog
roflmaool	Rolling on the floor laughing my ass off out loud
rotflmaool	rolling on the floor laughing my ass off out loud
rotflmfaopmp	rolling on the floor laughing my ass off pissin my pants
rotflmaostc	rolling on the floor laughing my ass off scaring the cat
rotflmbo	rolling on the floor laughing my butt off
rofflmfao	rolling on the floor laughing my fucking ass
roflmfao	rolling on the floor laughing my fucking ass off
rotflmfao	rolling on the floor laughing my fucking ass off
rotflmfaopimp	rolling on the floor laughing my fucking ass off peeing in my pants
roflmfaopimp	rolling on the floor laughing my fucking ass off pissing in my pants
rotflmfho	rolling on the floor laughing my fucking head off
roflmgao	rolling on the floor laughing my gay ass off
roflmgdao	rolling on the floor laughing my god damn ass off
roflmho	Rolling on the floor laughing my head off
rotflmho	rolling on the floor laughing my head off
roflmmfao	rolling on the floor laughing my mother fucking ass off
rotflmmfao	rolling on the floor laughing my mother fucking ass off
roflmiaha	Rolling on the floor laughing myself into a heart attack
roffle out loud	rolling on the floor laughing out loud
roffleol	rolling on the floor laughing out loud
rotflol	rolling on the floor laughing out loud
roflolbag	Rolling On The Floor Laughing Out Loud Busting A Gut
roflpmp	rolling on the floor laughing peeing my pants
roflpimp	rolling on the floor laughing pissing in my pants
roflwtime	Rolling on the Floor laughing with tears in my eyes
rotfpm	rolling on the floor pissing myself
rofpml	rolling on the floor pissing myself laughing
rofwl	Rolling on the floor while laughing
rotfwlmao	rolling on the floor while laughing my ass off
rofflecopters	rolling on the floor with laughter
rotfflmao	rolling on the fucking floor laughing my ass off
rotfflmfao	rolling on the fucking floor laughing my fucking ass off
rotg	rolling on the ground
rotglmao	rolling on the ground laughing my ass off
rolmao	Rolling Over Laughing My Ass Off
rolmfao	rolling over laughing my fucking ass off
rol	rolling over laugihng
rm	room
rihad	Rot In Hell And Die
rpita	royal pain in the ass
rpo	royally pissed off
rlz	rules
rsps	Runescape Private Server
sfe	safe
sfw	safe for work
sfwuz	safe for work until zoomed
soobs	saggy boobs
sed	said
sic	said in context
soc	Same old crap
sofs	same old fucking shit
sop	same old place
sos	same old shit
ssdp	same shit different pile
sssd	Same Shit Same Day
stsp	Same Time Same Place
stt	Same time tomorrow
s2u	same to you
snl	Saturday Night Live
syoa	Save Your Own Ass
sitmf	say it to my face
snm	say no more
sez	says
scurred	scared
sked	schedule
scool	school
skewl	school
skhool	school
skl	School
skool	school
skoul	school
skwl	school
siao	school is almost over
smho	Screaming My Head Off
sn	screen name
ss	screenshot
swafk	sealed with a friendly kiss
s.w.a.k.	sealed with a kiss
swak	sealed with a kiss
swalk	sealed with a loving kiss
srch	search
seo	Search Engine Optimization
serp	search engine results page
sgbadq	Search google before asking dumb questions
stfm	search the fucking manual
stfng	search the fucking news group
stfw	search the fucking web
sec	second
scrt	secret
ssl	secure sockets layer
c	see
shmily	see how much i love you
smb	see my blog
syrs	see ya real soon
cyu	see you
syatp	see you at the party
cu46	see you for sex
syiab	see you in a bit
syiaf	see you in a few
cuic	see you in class
cul	see you later
cul83r	See you later
cul8er	see you later
cul8r	See You Later
cul8tr	see you later
cyal	see you later
cyal8r	see you later
cyl	see you later
cyl8	see you later
cyl8er	see you later
l8r	see you later
sul	see you later
syl	see you later
syl8r	see you later
cuom	see you on monday
syotbf	see you on the battlefield
cyas	see you soon
sus	see you soon
sys	see you soon
syt	see you there
cyt	see you tomorrow
sut	see you tomorrow
cu2nit	see you tonight
cing	seeing
sellin	selling
jizz	semen
s2r	send to receive
s2a	sent to all
srs	serious
srly	seriously
srsly	seriously
srzly	seriously
srvis	Service
soa	service oriented architecture 
soe	service oriented enterprise
soi	service oriented infrastructure
svn	seven
53x	sex
cex	sex
nookie	sex
secks	sex
seks	sex
sexx0rz	sex
sx	sex
sxs	sex
zex	sex
sitb	sex in the but
sotr	sex on the road
syu	sex you up
s3x	Sex.
umfriend	sexual partner
std	sexually transmitted disease
6y	sexy
cexy	sexy
secksea	Sexy
secksy	sexy
sexc	sexy
sexe	sexy
sexi	Sexy
sexii	sexy
shexi	sexy
shexy	sexy
shmexy	sexy
smexy	sexy
sxc	sexy
sxcy	sexy
sxi	sexy
sxy	sexy
sah	sexy as hell
slf	sexy little fuck
smh	shaking my head
stw	share the wealth 
swmbo	she who must be obeyed
5h17	Shit
shiat	Shit
shiet	shit
shite	shit
shiz	shit
shizit	shit
shiznat	shit
shiznit	shit
shizz	shit
shizzle	shit
sht	shit
shyat	shit
shyt	shit
terd	shit
seg	Shit Eatin Grin
sh	shit happens
shtf	shit hits the fan
sool	shit out of luck
sol	Shit outta luck
shd	should
shld	should
shud	should
s/b	should be
siol	Shout It Out Loud
siuya	shove it up your ass
shwr	shower
showin	showing
sdf^	shut da fuck up
sfu	shut the fuck up
stfu	shut the fuck up
stfuppercut	shut the fuck up
stfua	shut the fuck up already
stfugbtw	shut the fuck up and get back to work
stfuah	shut the fuck up asshole
stfub	shut the fuck up bitch
stfuda	Shut the fuck up dumb ass
stfun	Shut the fuck up nigger
stfuogtfo	Shut the fuck up or get the fuck out.
stfuyb	shut the fuck up you bitch
stfuysoab	shut the fuck up you son of a bitch
sthu	shut the hell up
shuddup	Shut Up
shup	shut up
shut^	shut Up
su	shut up
suagooml	shut up and get out of my life
suib	shut up im busy
suyah	shut up you ass hole!
sydlm	Shut your dirty little mouth
syfm	shut your fucking mouth
sym	shut your mouth
sibir	sibling in room
s4se	Sight For Sore Eyes
sig	Signature
siggy	Signature
sbd	silent but deadly
swsw2b	single when she wants to be
swf	single white female
swm	single white male
sis	sister
sista	Sister
sfam	Sister from another mother
silf	Sister I'd Like To Fuck
stfd	sit the fuck down
sicl	sitting in chair laughing
simcl	sitting in my chair laughing
simclmao	sitting in my chair laughing my ass off
somadn	sitting on my ass doing nothing
snafu	situation normal all fucked up
snafubar	Situation Normal All Fucked Up Beyond Any Recognition
sk8	skate
s8ter	skater
sk8er	skater
sk8r	skater
sk8ter	skater
sk8tr	skater
sktr	skater
sk8ing	Skating
skillz	skills
slng	slang
sab	slap a bitch
slp	sleep
sleepin	sleeping
sleepn	sleeping
c-p	sleepy
sgtm	slightly gigling to myself
slo	slow
sl^t	Slut 
slore	slutty whore
smithwaws	Smack me in the head with a wooden spoon
*s*	smile
sof	smile on face
stm	smiling to myself
ss4l	smoking sista for life
kicks	sneakers
sqtm	snickering quietly to myself
soo	So
sbrd	so bored
sfsg	So far so good
sfh	So Fucking Hot
sfm	so fucking much
sfr	so fucking random
sfs	so fucking stupid
sfipmp	so funny I peed my pants
sg	so good
shrn	so hot right now
sl4n	so long for now
snf	so not fair
ssry	so sorry
sw	so what
sytycd	so you think you can dance 
sutuct	so you think you can type
sm	social media
sdk	Software Development Kit
sdlc	Software Development Life Cycle
0day	software illegally obtained before it was released
oday	software illegally obtained before it was released
smst	somebody missed snack time
sm1	someone
som1	someone
some1	someone
sum1	someone
slos	someone looking over shoulder
newb	someone who is new
noob	someone who is new
smthin	something
smthng	something
som'm	something
sth	something
sthing	something
sumfin	Something
summin	something
sumthin'	Something
sumtin	something
slt	something like that
smtm	sometime
s.o.a.b.	son of a bitch
s.o.b.	son of a bitch
sob	son of a bitch
soab	son of a btch
soafb	son of a fucking bitch
stb	soon to be
stbx	soon to be ex
sorreh	sorry
sowi	sorry
sowwy	sorry
soz	sorry
srry	sorry
sry	sorry
sz	sorry
sbc	sorry bout caps
sbt	sorry bout that
srynd2g	sorry need to go
swp	sorry wrong person
sorta	sort of
sk	spawn kill
spk	speak
sfy	speak for yourself
s2us	Speak to you soon
svu	special victims unit
sagn	Spelling and Grammar Nazi
sprm	sperm
sosg	spouse over shoulder gone
hijack	start an off topic discussion
st8	state
sahm	stay at home mom
s.i.t.	stay in touch
sofas	stepping out for a smoke
roids	steroids
sydim	stick your dick in me
smto	Sticking My Tongue Out
smtoay	Sticking my tongue out at you
sgi	Still got it
st1	stoned
sblai	stop babbaling like an idiot
st	Stop That
swmt	Stop Wasting My Time 
soml	story of my life
str8	straight
sxe	straight edge
sorg	Straight or Gay
str8up	straight up
sgb	straight/gay/bisexual
slgb	Straight/Lesbian/Gay/Bisexual
sbcg4ap	strongbads cool game for attractive people
stff	stuff
stoopid	stupid
stpd	stupid
stupd	stupid
stufu	stupid fucker
smofo	stupid mother fucker
smfpos	stupid mother fucking piece of shit
smf	stupid motherfucker
sotc	stupid off topic crap
spos	stupid peace of shit
ssob	stupid sons of bitches
see through your eyes	stye
ssia	subject says it all
sbs	such bull shit
suk	suck
sd	suck dick
siu	suck it up
smbd	suck my big dick 
smbt	Suck my big toe
smc	suck my cock
smd	suck my dick
smdb	suck my dick bitch
smdvq	suck my dick quickly
smfd	suck my fucking dick
smhb	suck my hairy balls
smt	suck my tits
sot	suck on this
suka	Sucker
sukz	sucks
sux	sucks
sux0rz	sucks
suxor	Sucks
suxors	sucks
suxorz	sucks
suxx	sucks
suxxor	sucks
s2bu	Sucks to be you
stby	sucks to be you
sux2bu	sucks to be you
supa	super
ub3r	super
snes	Super Nintendo Entertainment System
s'pose	suppose
supposably	Supposedly
sho	sure
shure	sure
sho'nuff	sure enough
stg	swear to god
swt	sweet
soad	system of a down
sysop	system operator
tt4n	ta ta for now
ttfn	ta ta for now
tkd	Tae Kwon Do
tc	take care
tcoy	take care of yourself
tiai	take it all in
tioli	take it or leave it
tmo	take me out
tma	take my advice
tmwfi	Take my word for it
tut	take your time
tyt	take your time
tyto	take your top off
tlk	talk
td2m	talk dirty to me
tdtm	Talk Dirty To Me
tl8r	talk later
t2m	talk to me
tlk2me	talk to me
ttm	talk to me
ttml	talk to me later
ttth	Talk To The Hand
tty	Talk to You
ttyab	Talk to you after breakfast
ttyad	Talk to you after Dinner
ttyal	Talk to you after lunch
ttyas	talk to you at school
ttyiam	talk to you in a minute
ttyitm	talk to you in the morning
t2ul	talk to you later
t2ul8r	talk to you later
tk2ul	talk to you later
tlk2ul8r	talk to you later
ttul	Talk To You Later
ttul8r	Talk to you later
ttyl	talk to you later
ttyl8r	talk to you later
ttylt	talk to you later today
ttyn	talk to you never
ttyna	talk to you never again
ttynl	talk to you never loser
ttynw	talk to you next week
ttyotp	talk to you on the phone
ttyo	talk to you online
ttyrs	talk to you really soon
ttus	talk to you soon
ttys	talk to you soon
ttyt	talk to you tomorrow
ttytm	talk to you tomorrow
ttywl	Talk to you way later
ttyw	talk to you whenever
twyl	Talk With You Later
twys	Talk With You Soon
tlkin	talking
tlkn	talking
totp	talking on the phone
ts	talking shit
ttms	talking to myself
t2u	talking to you
t8st	taste
tat2	tattoo
taunch	te amo un chingo
tiw	teacher is watching
tob	teacher over back
tw	Teacher Watching
taw	Teachers are Watching
te	Team effort
