a4ded	afforded
humanisin	humanising
humanizin	humanizing
humblin	humbling
humiliatin	humiliating
hummin	humming
humourin	humouring
humpin	humping
humr	humour
hunchin	hunching
hungerin	hungering
huntin	hunting
hurdlin	hurdling
hurlin	hurling
hurryin	hurrying
hurtin	hurting
hurtlin	hurtling
hushin	hushing
hustlin	hustling
hw	how
hwevr	however
hwk	homework
hyperventilatin	hyperventilating
hyphenatin	hyphenating
hypin	hyping
hypnotisin	hypnotising
hypnotizin	hypnotizing
hypothesisin	hypothesising
hypothesizin	hypothesizing
ic	i see
icebreakin	icebreaking
icin	icing
i'd	I would
idealisin	idealising
idealizin	idealizing
identifyin	identifying
idlin	idling
ignitin	igniting
ignorin	ignoring
i'll	i will
illuminatin	illuminating
illustratin	illustrating
im	i am
imagin	imaging
imaginin	imagining
imbibin	imbibing
imitatin	imitating
immersin	immersing
immigratin	immigrating
immobilisin	immobilising
imo	in my opinion
imp	important
impactin	impacting
impairin	impairing
impalin	impaling
impartin	imparting
impeachin	impeaching
impedin	impeding
impellin	impelling
impendin	impending
impersonatin	impersonating
impinin	impinging
implantin	implanting
implementin	implementing
implicatin	implicating
implmnt	implement
implmnting	implementing
implodin	imploding
implorin	imploring
implyin	implying
importin	importing
imposin	imposing
impoundin	impounding
impoverishin	impoverishing
impregnatin	impregnating
impressin	impressing
imprintin	imprinting
imprisonin	imprisoning
improvin	improving
improvin	improving
improvisin	improvising
imprtnce	importance
imprtnt	important
impssible	impossible
impugnin	impugning
imputin	imputing
in2	into
in4md	informed
in4min	informing
inauguratin	inaugurating
inbreedin	inbreeding
incapacitatin	incapacitating
incarceratin	incarcerating
incensin	incensing
inchin	inching
incineratin	incinerating
incitin	inciting
incld	include
incldin	including
inclinin	inclining
includin	including
incomin	incoming
inconveniencin	inconveniencing
incorporatin	incorporating
increasin	increasing
incriminatin	incriminating
incubatin	incubating
inculcatin	inculcating
incurrin	incurring
indemnifyin	indemnifying
indentin	indenting
indexin	indexing
indic8d	indicated
indic8in	indicating
indictd	indicted
indictin	indicting
individualisd	individualised
individualisin	individualising
indoctrin8d	indoctrinated
indoctrinatin	indoctrinating
indstrialisd	industrialised
indstrializd	industrialized
indstry	industry
inducd	induced
inducin	inducing
indulgd	indulged
indulgin	indulging
industrialisin	industrialising
industrializin	industrializing
inestin	ingesting
infectd	infected
infectin	infecting
inferrd	inferred
inferrin	inferring
infestd	infested
infestin	infesting
infightin	infighting
infillin	infilling
infiltr8d	infiltrated
infiltratin	infiltrating
infl8d	inflated
inflamd	inflamed
inflamin	inflaming
inflatin	inflating
inflectd	inflected
inflectin	inflecting
inflictd	inflicted
inflictin	inflicting
influencd	influenced
influencin	influencing
info	information
infrinin	infringing
infuri8d	infuriated
infuriatin	infuriating
infusd	infused
infusin	infusing
inhabitd	inhabited
inhabitin	inhabiting
inhald	inhaled
inhalin	inhaling
inheritd	inherited
inheritin	inheriting
inhibitd	inhibited
inhibitin	inhibiting
initi8	initiate
initi8d	initiated
initiatin	initiating
injectd	injected
injectin	injecting
injurd	injured
injurin	injuring
inkd	inked
inkin	inking
inklin	inkling
innin	inning
innov8d	innovated
innov8ion	innovation
innov8in	innovating
inocul8d	inoculated
inocul8in	inoculating
inputtin	inputting
inquird	inquired
inquirin	inquiring
inratiatin	ingratiating
inscribd	inscribed
inscribin	inscribing
insertd	inserted
insertin	inserting
insinu8d	insinuated
insinu8in	insinuating
insistd	insisted
insistin	insisting
inspectd	inspected
inspectin	inspecting
inspird	inspired
inspirin	inspiring
installd	installed
installin	installing
instig8d	instigated
instigatin	instigating
instilld	instilled
instillin	instilling
institutd	instituted
institutin	instituting
instructd	instructed
instructin	instructing
insul8d	insulated
insul8in	insulating
insultd	insulted
insultin	insulting
insurd	insured
insurin	insuring
integr8	integrate
integr8d	integrated
integr8in	integrating
intendin	intending
intensifyin	intensifying
interactd	interacted
interactin	interacting
interbreedin	interbreeding
intercedd	interceded
intercedin	interceding
interceptd	intercepted
interceptin	intercepting
interchangd	interchanged
interchangin	interchanging
interdictd	interdicted
interdictin	interdicting
interestd	interested
interestin	interesting
interfacd	interfaced
interfacin	interfacing
interfeed	interfered
interferin	interfering
interjeced	interjected
interjectin	interjecting
interlacd	interlaced
interlacin	interlacing
interlockd	interlocked
interlockin	interlocking
interminlin	intermingling
internalisd	internalised
internalisin	internalising
internalizd	internalized
internalizin	internalizing
internd	interned
internin	interning
interpol8d	interpolated
interpolatin	interpolating
interposd	interposed
interposin	interposing
interpretd	interpreted
interpretin	interpreting
interro8	interrogate
interrog8d	interrogated
interrog8in	interrogating
interruptd	interrupted
interruptin	interrupting
intersectd	intersected
intersectin	intersecting
interspersd	interspersed
interspersin	interspersing
intertwind	intertwined
intertwinin	intertwining
intervend	intervened
intervenin	intervening
intgr8	integrate
intim8d	intimated
intim8in	intimating
intimid8	intimidate
intimid8d	intimidated
intimidatin	intimidating
intl	international
intllgnce	intelligence
intllgnt	intelligent
intond	intoned
intonin	intoning
intoxic8d	intoxicated
intoxicatin	intoxicating
intrfce	interface
intriguin	intriguing
intrnt	internet
intro	introduction
introducd	introduced
introducin	introducing
introspectin	introspecting
intrstn	interesting
intrudin	intruding
intrvw	interview
intrvwin	interviewing
intrvwd	interviewed
inundatin	inundating
invadin	invading
invalid8d	invalidated
invalidatin	invalidating
inveighin	inveighing
inveigled	inveigled
inveiglin	inveigling
inventd	invented
inventin	inventing
inverkeithin	inverkeithing
invertd	inverted
invertin	inverting
investd	invested
investig8d	investigated
investigatin	investigating
investin	investing
invigil8d	invigilated
invigilatin	invigilating
invigor8d	invigorated
invigoratin	invigorating
invitd	invited
invitin	inviting
invoicd	invoiced
invoicin	invoicing
invokd	invoked
invokin	invoking
involvd	involved
involvin	involving
invsbl	invisible
ionisd	ionised
ionisin	ionising
ionizd	ionized
ionizin	ionizing
iou	i owe you
iphn	iphone
irond	ironed
ironin	ironing
irradi8d	irradiated
irradiatin	irradiating
irrig8d	irrigated
irrigatin	irrigating
irrit8	irritate
irrit8d	irritated
irritatin	irritating
irvin	irving
islnd	island
isol8	isolate
isol8d	isolated
isolatin	isolating
issud	issued
issuin	issuing
itchd	itched
itchin	itching
itemisd	itemised
itemisin	itemising
ive	i have
jabbd	jabbed
jabberd	jabbered
jabberin	jabbering
jabbin	jabbing
jackd	jacked
jackin	jacking
jaild	jailed
jailin	jailing
jammd	jammed
jammin	jamming
jan	january
jangld	jangled
janglin	jangling
jarrd	jarred
jarrin	jarring
jauntin	jaunting
jawbonin	jawboning
jaywalkin	jaywalking
jeerd	jeered
jeerin	jeering
jeopardisd	jeopardised
jeopardisin	jeopardising
jeopardizd	jeopardized
jeopardizin	jeopardizing
jerkd	jerked
jerkin	jerking
jettd	jetted
jettin	jetting
jettisond	jettisoned
jettisonin	jettisoning
jiggd	jigged
jiggin	jigging
jiggld	jiggled
jigglin	jiggling
jiltd	jilted
jiltin	jilting
jinlin	jingling
jobbin	jobbing
jockeyd	jockeyed
jockeyin	jockeying
joggd	jogged
joggin	jogging
joind	joined
joinin	joining
jointin	jointing
jokd	joked
jokin	joking
joltd	jolted
joltin	jolting
jostld	jostled
jostlin	jostling
jottd	jotted
jottin	jotting
journeyd	journeyed
journeyin	journeying
joustin	jousting
joyridin	joyriding
jst	just
judderd	juddered
judderin	juddering
judgd	judged
judgin	judging
juggld	juggled
jugglin	juggling
jul	july
jumpd	jumped
jumpin	jumping
junkd	junked
junkin	junking
justifyin	justifying
juttd	jutted
juttin	jutting
juxtaposd	juxtaposed
juxtaposin	juxtaposing
k	ok
kayakin	kayaking
kbd	keyboard
kds	kids
keatin	keating
keeld	keeled
keelin	keeling
keenin	keening
keepin	keeping
kennellin	kennelling
ketterin	kettering
keyd	keyed
keyin	keying
keystrokin	keystroking
kickd	kicked
kickin	kicking
kiddin	kidding
kidnappd	kidnapped
kidnappin	kidnapping
killd	killed
killin	killing
kilwinnin	kilwinning
kindld	kindled
kindlin	kindling
kiplin	kipling
kissd	kissed
kissin	kissing
kittin	kitting
knd	kind
kndly	kindly
kneadin	kneading
kneelin	kneeling
knifin	knifing
knittd	knitted
knittin	knitting
knockd	knocked
knockin	knocking
knottd	knotted
knottin	knotting
knowin	knowing
knuckld	knuckled
knucklin	knuckling
knw	know
knwin	knowing
kowtowin	kowtowing
krnl	kernel
kul	cool
kunmin	kunming
kwakin	quacking
l8	late
l8r	later
labelld	labelled
labellin	labelling
labourd	laboured
labourin	labouring
lacer8d	lacerated
laceratin	lacerating
lacin	lacing
lackd	lacked
lackin	lacking
lactatin	lactating
ladin	lading
ladled	ladled
ladlin	ladling
laggd	lagged
laggin	lagging
lambastd	lambasted
lambastin	lambasting
lambin	lambing
lamentd	lamented
lamentin	lamenting
lamin	laming
lammin	lamming
lampoond	lampooned
lampoonin	lampooning
lancd	lanced
lancin	lancing
landholdin	landholding
landin	landing
landownin	landowning
landscapd	landscaped
landscapin	landscaping
lang	language
langs	languages
languishd	languished
languishin	languishing
lannin	lanning
lansin	lansing
lappd	lapped
lappin	lapping
lapsd	lapsed
lapsin	lapsing
lapwin	lapwing
larkin	larking
lashd	lashed
lashin	lashing
lassoin	lassoing
lastd	lasted
lastin	lasting
latchd	latched
latchin	latching
laudin	lauding
laughd	laughed
laughin	laughing
launchd	launched
launchin	launching
launderd	laundered
launderin	laundering
lavishd	lavished
lavishin	lavishing
lawmakin	lawmaking
layerd	layered
layerin	layering
layin	laying
lazin	lazing
lch	lunch
lck	luck
leachd	leached
leachin	leaching
leadd	leaded
leadin	leading
leafin	leafing
leakd	leaked
leakin	leaking
leand	leaned
leanin	leaning
leapd	leaped
leapfroggd	leapfrogged
leapfroggin	leapfrogging
leapin	leaping
learnd	learned
learnin	learning
leasd	leased
leashd	leashed
leashin	leashing
leasin	leasing
leav	leave
leavend	leavened
leavenin	leavening
leavin	leaving
lecturd	lectured
lecturin	lecturing
leerin	leering
legalisd	legalised
legalisin	legalising
legalizd	legalized
legalizin	legalizing
leggd	legged
leggin	legging
legisl8in	legislating
legitm8in	legitimating
lemin	lemming
lemmin	lemming
lendin	lending
lendin	lending
lengthend	lengthened
lengthenin	lengthening
lern	learn
lernd	learned
lesenin	lessening
lessend	lessened
lessenin	lessening
leterin	lettering
letin	letting
letin	letting
letterd	lettered
letterin	lettering
lettin	letting
levelld	levelled
levellin	levelling
leveragd	leveraged
leveragin	leveraging
leverd	levered
leverin	levering
levit8d	levitated
levit8in	levitating
levitatin	levitating
levlin	levelling
levragin	leveraging
levrin	levering
levyin	levying
levyin	levying
lft	left
libelld	libelled
libellin	libelling
liber8	liberate
liber8d	liberated
liber8in	liberating
liberalisd	liberalised
liberalisin	liberalising
liberalizd	liberalized
liberalizin	liberalizing
liberatin	liberating
liberlisin	liberalising
liberlizin	liberalizing
liblin	libelling
licencd	licensed
licensin	licensing
lickd	licked
lickin	licking
lickin	licking
licnsin	licensing
lifesavin	lifesaving
lifesavin	lifesaving
liftd	lifted
liftin	lifting
liftin	lifting
lightd	lighted
lightend	lightened
lightenin	lightening
lightin	lighting
lightnin	lightning
liked	liked
likened	likened
likenin	likening
likin	liking
likin	liking
liknin	likening
lil	little
liltin	lilting
liltin	lilting
limberin	limbering
limberin	limbering
limin	liming
limin	liming
limitd	limited
limitin	limiting
limitin	limiting
limpd	limped
limpin	limping
limpin	limping
linerin	lingering
lingerin	lingering
linin	lining
linin	lining
linkd	linked
linkin	linking
linkin	linking
liquid8d	liquidated
liquid8in	liquidating
liquidatin	liquidating
liquidisd	liquidised
liquidisin	liquidising
liquidisin	liquidising
liquorin	liquoring
liquorin	liquoring
lispd	lisped
lispin	lisping
lispin	lisping
listd	listed
listend	listened
listenin	listening
listenin	listening
listin	listing
listin	listing
listnin	listening
literin	littering
litig8d	litigated
litig8in	litigating
litigatin	litigating
litterd	littered
litterin	littering
livd	lived
livend	livened
livenin	livening
livin	living
livnin	livening
lke	like
lkwise	likewise
lndn	london
lng	long
lngthnin	lengthening
lnk	link
loadin	loading
loafin	loafing
loand	loaned
loanin	loaning
loathd	loathed
loathin	loathing
lobbin	lobbing
lobbyin	lobbying
lobin	lobbing
lobyin	lobbying
loc8d	located
loc8in	locating
localisd	localised
localisin	localising
localizin	localizing
lockd	locked
lockin	locking
lodgd	lodged
lodgin	lodging
loggd	logged
loggin	logging
loiterd	loitered
loiterin	loitering
lol	laughing out loud
lollin	lolling
longd	longed
longin	longing
longin	longing
longlastin	long-lasting
longstandin	longstanding
loomd	loomed
loomin	looming
loopd	looped
loopin	looping
loosend	loosened
loosin	loosing
loosnin	loosening
looted	looted
lootin	looting
loped	loped
lopin	loping
lopped	lopped
loppin	lopping
lordin	lording
lordin	lording
losin	losing
loungd	lounged
loungin	lounging
lovemakin	lovemaking
lovin	loving
lowerd	lowered
lowin	lowing
lowrin	lowering
lst	last
lubric8d	lubricated
lubric8in	lubricating
luggd	lugged
lugin	lugging
luk	look
lukd	looked
lukin	looking
lulin	lulling
lulld	lulled
lumberd	lumbered
lumberin	lumbering
lumpd	lumped
lumpin	lumping
lumpin	lumping
lunchd	lunched
lunchin	lunching
lungd	lunged
lungin	lunging
lungin	lunging
lurchd	lurched
lurchin	lurching
lurd	lured
lurin	luring
lurkd	lurked
lurkin	lurking
lustd	lusted
lustin	lusting
luv	love
luvd	loved
luvin	loving
luvmakin	lovemaking
luvu	love you
luxuri8in	luxuriating
luxuriatin	luxuriating
lve	live
lvrpl	liverpool
lyin	lying
lyk	like
lynchd	lynched
lynchin	lynching
lytin	lighting
lytnin	lightening
lytnin	lightning
m8	mate
m8in	mating
m8s	mates
machind	machined
machnin	machining
maddenin	maddening
madend	maddened
madnin	maddening
mag	magazine
magnfyin	magnifying
magnifyin	magnifying
maild	mailed
mailin	mailing
mailin	mailing
maimd	maimed
maimin	maiming
mainsprin	mainspring
maintaind	maintained
maintainin	maintaining
majord	majored
majorin	majoring
majorin	majoring
makin	making
malfunctiond	malfunctioned
malfunctionin	malfunctioning
malfunctionin	malfunctioning
malignd	maligned
malignin	maligning
malignin	maligning
malinerin	malingering
malingrin	malingering
maltd	malted
maltin	malting
mamin	maiming
managd	managed
managin	managing
mand8d	mandated
mand8in	mandating
mangld	mangled
manglin	mangling
manhandld	manhandled
manhandlin	manhandling
manifestd	manifested
manifestin	manifesting
manin	manning
manipul8d	manipulated
manipul8in	manipulating
mannd	manned
mannin	manning
manoeuvrd	manoeuvred
mansprin	mainspring
mantanin	maintaining
mantlin	mantling
manufacturd	manufactured
manufacturin	manufacturing
manurin	manuring
manurin	manuring
manuvrin	manoeuvring
mapin	mapping
mappd	mapped
maraudin	marauding
maraudin	marauding
marched	marched
marchin	marching
marginalisd	marginalised
margnalisin	marginalising
marin	marring
markd	marked
marketd	marketed
marketin	marketing
markin	marking
marlin	marling
maroond	marooned
maroonin	marooning
marrd	marred
marrin	marring
marryin	marrying
marshalin	marshalling
marshalld	marshalled
marshallin	marshalling
marvelld	marvelled
marvellin	marvelling
marvlin	marvelling
masacrin	massacring
mashd	mashed
mashin	mashing
maskd	masked
maskin	masking
maskradin	masquerading
masqueradd	masqueraded
massacrd	massacred
massacrin	massacring
massagd	massaged
massagin	massaging
massd	massed
massin	massing
masterd	mastered
masterin	mastering
mastermindd	masterminded
mastermindin	masterminding
mastic8in	masticating
masticatin	masticating
mastrb8in	masturbating
masturb8	masturbate
masturb8d	masturbated
matchd	matched
matchin	matching
matchmakin	matchmaking
matchmakin	matchmaking
materialisd	materialised
materialisin	materialising
materialisin	materialising
materin	mattering
matin	mating
matrcul8in	matriculating
matricul8d	matriculated
matterd	mattered
matterin	mattering
mattin	matting
maturin	maturing
maulin	mauling
maulin	mauling
maxed	maximized
maximised	maximised
maximisin	maximising
maximizin	maximizing
maximizin	maximizing
mayb	maybe
mch	much
mde	made
mdia	media
mdl	model
mdls	models
meanderd	meandered
meanderin	meandering
meanderin	meandering
meanin	meaning
meanin	meaning
measurd	measured
meatpackin	meatpacking
meatpackin	meatpacking
mechanisd	mechanised
mechanisin	mechanising
mechanizd	mechanized
mechanizin	mechanizing
meddld	meddled
medi8d	mediated
medi8in	mediating
medic8d	medicated
medic8in	medicating
medit8d	meditated
medit8in	meditating
medlin	meddling
meldd	melded
meldin	melding
mellowd	mellowed
melowin	mellowing
meltd	melted
meltin	melting
memorisd	memorised
memorisin	memorising
memorizd	memorized
memorizin	memorizing
menacd	menaced
menacin	menacing
mendin	mending
menstru8in	menstruating
menstruatin	menstruating
mentiond	mentioned
mentionin	mentioning
mentorin	mentoring
merchandisin	merchandising
mergd	merged
mergin	merging
meritd	merited
meritin	meriting
meritin	meriting
meshd	meshed
meshin	meshing
meshin	meshing
mesmerisd	mesmerised
mesmerisin	mesmerising
mesmerizd	mesmerized
mesmerizin	mesmerizing
messagin	messaging
messd	messed
messin	messing
mesurin	measuring
metalworkin	metalworking
meterd	metered
meterin	metering
meterin	metering
metin	meting
mewin	mewing
mght	might
microfilmin	microfilming
microwavd	microwaved
microwavin	microwaving
microwavin	microwaving
middlin	middling
midlin	middling
migr8d	migrated
migr8in	migrating
milit8d	militated
milit8in	militating
militatin	militating
milkd	milked
milkin	milking
millin	milling
millin	milling
mimd	mimed
mimickd	mimicked
mimickin	mimicking
mimikin	mimicking
mimin	miming
min	minute
mincd	minced
mincin	mincing
mindd	minded
mindin	minding
mindin	minding
minglin	mingling
miniaturisd	miniaturised
miniaturisin	miniaturising
miniaturisin	miniaturising
minimisd	minimised
minimisin	minimising
minimisin	minimising
minimizd	minimized
minimizin	minimizing
minin	mining
minin	mining
ministerd	ministered
ministerin	ministering
minlin	mingling
mins	minutes
mintd	minted
mintin	minting
mintin	minting
mirorin	mirroring
mirrord	mirrored
mirrorin	mirroring
misaplyin	misapplying
misappropriatin	misappropriating
misapropri8in	misappropriating
misbhavin	misbehaving
miscalcul8in	miscalculating
miscarryin	miscarrying
miscastin	miscasting
miscountin	miscounting
miscountin	miscounting
misdirectin	misdirecting
misdirectin	misdirecting
misgivin	misgiving
mishandlin	mishandling
mishearin	mishearing
mishearin	mishearing
mishitin	mishitting
mishittin	mishitting
misin	missing
misinterpretin	misinterpreting
misinterpretin	misinterpreting
misleadin	misleading
mismanagin	mismanaging
mismanagin	mismanaging
mismatchin	mismatching
mismatchin	mismatching
mispelin	misspelling
misplacin	misplacing
misplacin	misplacing
mispronouncin	mispronouncing
mispronouncin	mispronouncing
misquotin	misquoting
misquotin	misquoting
misreadin	misreading
misreadin	misreading
misrepresentin	misrepresenting
misrepresentin	misrepresenting
misspellin	misspelling
mistakin	mistaking
mistakin	mistaking
misted	misted
mistin	misting
mistreatin	mistreating
mistreatin	mistreating
mistrustin	mistrusting
mistrustin	mistrusting
misunderstandin	misunderstanding
misusin	misusing
misusin	misusing
mitig8d	mitigated
mitig8in	mitigating
mixed	mixed
mixin	mixing
mlln	million
mmurin	murmuring
mnchstr	manchester
mnd	mind
mndy	Monday
mnging	managing
mngment	management
mngr	manager
mngrs	managers
mnth	month
mny	many
moand	moaned
moanin	moaning
moanin	moaning
mobbin	mobbing
mobd	mobbed
mobilisd	mobilised
mobilisin	mobilising
mobilizd	mobilized
mobilizin	mobilizing
mobilizin	mobilizing
mobin	mobbing
mockd	mocked
mockin	mocking
modeld	modelled
modelin	modelling
moder8d	moderated
moder8in	moderating
modernisd	modernised
modernisin	modernising
modernizd	modernized
modernizin	modernizing
modfyin	modifying
modifd	modified
modifyin	modifying
modrnisin	modernising
modrnizin	modernizing
modul8d	modulated
modul8in	modulating
moing	mooing
moistend	moistened
moistenin	moistening
moistnin	moistening
moisturisin	moisturising
moisturisin	moisturising
molestd	molested
molestin	molesting
molestin	molesting
molifyin	mollifying
mollifyin	mollifying
moneymkin	moneymaking
monitord	monitored
monitorin	monitoring
monitorin	monitoring
monopolisd	monopolised
monopolisin	monopolising
monopolisin	monopolising
monopolizd	monopolized
monopolizin	monopolizing
monopolizin	monopolizing
mooin	mooing
moonin	mooning
moonin	mooning
moonlightd	moonlighted
moonlightin	moonlighting
moonlitin	moonlighting
moord	moored
moorin	mooring
moorin	mooring
mopin	moping
mopin	moping
moppin	mopping
moppin	mopping
mor	more
moralisd	moralised
moralisin	moralising
moralisin	moralising
moralizin	moralizing
moralizin	moralizing
mornin	morning
mornin	morning
mornin	morning
mortgagd	mortgaged
mortgagin	mortgaging
mortgagin	mortgaging
mortifyin	mortifying
mortifyin	mortifying
mothbalin	mothballing
mothballd	mothballed
mothballin	mothballing
motherd	mothered
motherin	mothering
motherin	mothering
motiond	motioned
motionin	motioning
motiv8d	motivated
motiv8in	motivating
motord	motored
motorin	motoring
motorin	motoring
mouldd	moulded
moulderin	mouldering
moulderin	mouldering
mouldin	moulding
moultin	moulting
moultin	moulting
moundin	mounding
moundin	mounding
mountainerin	mountaineering
mountd	mounted
mountin	mounting
mountin	mounting
mournd	mourned
mournin	mourning
mournin	mourning
mouthd	mouthed
mouthin	mouthing
mouthin	mouthing
mov	movie
movd	moved
movin	moving
movin	moving
mowd	mowed
mowin	mowing
mowin	mowing
mrch	march
mrket	market
mrktg	marketing
msappropri8d	misappropriated
msbehavd	misbehaved
mscalcul8d	miscalculated
mscountd	miscounted
msdirectd	misdirected
msg	message
msgin	messaging
msgs	messages
msjudgd	misjudged
msmanagd	mismanaged
msmatchd	mismatched
msplacd	misplaced
mspronouncd	mispronounced
msquotd	misquoted
msrepresentd	misrepresented
mss	miss
mssd	missed
msspelld	misspelled
mst	most
mstreatd	mistreated
mstrustd	mistrusted
mthd	method
mthds	methods
mtng	meeting
mu	miss you
muckd	mucked
muckin	mucking
muckin	mucking
muddld	muddled
muddlin	muddling
muddyin	muddying
mudlin	muddling
mudslinin	mudslinging
mudslinin	mudslinging
mudyin	muddying
muffld	muffled
muflin	muffling
muggd	mugged
muggin	mugging
mugin	mugging
mulchin	mulching
mulchin	mulching
mulin	mulling
mulld	mulled
mullin	mulling
multiplexin	multiplexing
multiplexin	multiplexing
multiplyin	multiplying
multiplyin	multiplying
multiprocesin	multiprocessing
multiprocessin	multiprocessing
multitaskin	multitasking
multitaskin	multitasking
mumbld	mumbled
mumblin	mumbling
mumblin	mumbling
munchd	munched
munchin	munching
murderd	murdered
murderin	murdering
murderin	murdering
murmurd	murmured
murmurin	murmuring
muscld	muscled
musclin	muscling
musclin	muscling
mushromin	mushrooming
mushroomd	mushroomed
musin	musing
musin	musing
musterd	mustered
musterin	mustering
mustnt	must not
mut8d	mutated
mut8in	mutating
mutatin	mutating
mutd	muted
muterin	muttering
mutil8d	mutilated
mutil8in	mutilating
mutilatin	mutilating
mutin	muting
mutin	muting
mutterd	muttered
mutterin	muttering
muzlin	muzzling
muzzld	muzzled
muzzlin	muzzling
myslf	myself
mystifyin	mystifying
mystifyin	mystifying
n	and
n1	nice one
na	not applicable
nabbd	nabbed
nabbin	nabbing
nabin	nabbing
nagd	nagged
naggin	nagging
nagin	nagging
naild	nailed
nailin	nailing
nailin	nailing
namd	named
namin	naming
namin	naming
nanjin	nanjing
nanjin	nanjing
napin	napping
nappd	napped
nappin	napping
nar8in	narrating
narowin	narrowing
narr8	narrate
narr8d	narrated
narratin	narrating
narrowd	narrowed
narrowin	narrowing
naterin	nattering
nationalizd	nationalized
nationalizin	nationalizing
nationalizin	nationalizing
natterin	nattering
nause8d	nauseated
nauseatin	nauseating
nauseatin	nauseating
navig8d	navigated
navig8in	navigating
navigatin	navigating
naybrin	neighbouring
nayin	neighing
ncase	in case
nce	nice
ncourage	encourage
ncouraged	encouraged
ncouragin	encouraging
nds	needs
ne	any
ne1	anyone
neard	neared
nearin	nearing
nearin	nearing
neatenin	neatening
neatnin	neatening
necesit8in	necessitating
necessit8d	necessitated
necessitatin	necessitating
neckd	necked
neckin	necking
nd	need
needd	needed
needin	needing
needld	needled
needlin	needling
needlin	needling
neg8d	negated
neg8in	negating
negatin	negating
neglectd	neglected
neglectin	neglecting
negoti8d	negotiated
negoti8in	negotiating
neighbourin	neighbouring
neighd	neighed
neighin	neighing
nekin	necking
nestd	nested
nestin	nesting
nestin	nesting
nestld	nestled
nestlin	nestling
nestlin	nestling
netin	netting
nettin	netting
networkd	networked
networkin	networking
netwrkin	networking
neuterin	neutering
neutralisd	neutralised
neutralisin	neutralising
neutralizd	neutralized
neutralizin	neutralizing
newspaperin	newspapering
ngage	engage
ngaged	engaged
ngagin	engaging
ngel	angel
ngtive	negative
nibbld	nibbled
nibblin	nibbling
niblin	nibbling
niggld	niggled
nigglin	niggling
niglin	niggling
nipin	nipping
nippd	nipped
nippin	nipping
nite	night
nitelife	nightlife
nitemare	nightmare
nitemares	nightmares
nites	nights
nitpickin	nitpicking
nitpikin	nitpicking
njoy	enjoy
njoyd	enjoyed
nlargd	enlarged
nlightend	enlightened
nlistd	enlisted
nly	only
nly1	only one
nme	name
no1	no one
no.1	number one
noddd	nodded
noddin	nodding
nodin	nodding
nomin8d	nominated
nomin8in	nominating
nominatin	nominating
nonbindin	nonbinding
nonbindin	nonbinding
nonper4min	nonperforming
nonrecurin	nonrecurring
nonrecurrin	nonrecurring
nonsmokin	non-smoking
nonsmokn	non-smoking
nonvotin	nonvoting
nonvotin	nonvoting
norishin	nourishing
norkopin	norrkoping
normalisd	normalised
normalisin	normalising
normalizd	normalized
normalizin	normalizing
normlisin	normalising
normlizin	normalizing
norrkopin	norrkoping
nosin	nosing
nosin	nosing
notchd	notched
notchin	notching
notchin	notching
notd	noted
notha	another
nothin	nothing
nothin	nothing
notic	notice
noticd	noticed
noticd	noticed
noticin	noticing
noticin	noticing
notifyin	notifying
notifyin	notifying
notin	noting
notin	noting
notisin	noticing
nottin	notting
nottin	notting
notwithstandin	notwithstanding
nourishd	nourished
nourishin	nourishing
nov	november
np	no problem
nrg	energy
nrthrn	northern
nt	nice try
nthin	nothing
ntwrk	network
nu	new
nudgd	nudged
nudgin	nudging
nuff	enough
nulifyin	nullifying
numbd	numbed
numberd	numbered
numberin	numbering
numbin	numbing
numbin	numbing
numbrin	numbering
nursd	nursed
nursin	nursing
nursin	nursing
nurturd	nurtured
nurturin	nurturing
nurturin	nurturing
nuterin	neutering
nutrlisin	neutralising
nutrlizin	neutralizing
nuzlin	nuzzling
nuzzld	nuzzled
nuzzlin	nuzzling
nvr	never
nw	no way
nws	news
nwspaprin	newspapering
nxt	next
ny	new york
o	of
obeyd	obeyed
obeyin	obeying
objctin	objecting
objectd	objected
objectin	objecting
obligd	obliged
obligin	obliging
obliter8d	obliterated
obliter8in	obliterating
obscurd	obscured
obscurin	obscuring
obscurin	obscuring
observd	observed
observin	observing
obsesin	obsessing
obsessd	obsessed
obsessin	obsessing
obsrvin	observing
obstructd	obstructed
obstructin	obstructing
obstructin	obstructing
obtaind	obtained
obtainin	obtaining
obtainin	obtaining
obtrudin	obtruding
obtrudin	obtruding
obvi8d	obviated
obvi8in	obviating
obviatin	obviating
occasiond	occasioned
occasionin	occasioning
occupyin	occupying
occurd	occurred
occurrin	occurring
oct	october
octiond	auctioned
octionin	auctioning
ocurin	occurring
oditin	auditing
oditiond	auditioned
oditionin	auditioning
odlin	odling
odlin	odling
ofendin	offending
oferin	offering
offended	offended
offendin	offending
offerd	offered
offerin	offering
offici8d	officiated
offici8in	officiating
offin	offing
offin	offing
offloadd	offloaded
offloadin	offloading
offlodin	offloading
offputin	off-putting
offputtin	off-putting
offsettin	offsetting
offsprin	offspring
offsprin	offspring
ofis	office
ofsetin	offsetting
oftn	often
ogld	ogled
oglin	ogling
oglin	ogling
ogmentd	augmented
ogmentin	augmenting
oild	oiled
oilin	oiling
oilin	oiling
ok	okay
okasionin	occasioning
okupyin	occupying
omg	oh my god
omitd	omitted
omitin	omitting
oncomin	oncoming
ongoin	ongoing
ongoin	ongoing
oozin	oozing
opend	opened
openin	opening
openin	opening
oper8d	operated
oper8in	operating
